Rank,company,revenue,employee,URL
160,Danaher,"$19,893.00 ","71,000",https://www.indeed.com/cmp/Danaher
161,Hartford Financial Services,"$19,827.00 ","18,500",https://www.indeed.com/cmp/The-Hartford
162,Altria Group,"$19,627.00 ","8,300",https://www.indeed.com/cmp/Altria
163,Bank of New York Mellon,"$19,214.00 ","51,300",https://www.indeed.com/cmp/Bny-Mellon
164,Fluor,"$19,166.60 ","53,349",https://www.indeed.com/cmp/Fluor-Corp.
165,Avnet,"$19,036.90 ","15,400",https://www.indeed.com/cmp/Avnet
166,Icahn Enterprises,"$18,979.00 ","29,034",https://www.indeed.com/cmp/Icahn-Enterprises
167,Occidental Petroleum,"$18,934.00 ","11,000",https://www.indeed.com/cmp/Occidental-Petroleum
168,Molina Healthcare,"$18,890.00 ","11,000",https://www.indeed.com/cmp/Molina-Healthcare
169,Genuine Parts,"$18,735.10 ","50,000",https://www.indeed.com/cmp/Genuine-Parts-Company
170,Freeport-McMoRan,"$18,628.00 ","26,800",https://www.indeed.com/cmp/Freeport--mcmoran
171,Kimberly-Clark,"$18,486.00 ","41,000",https://www.indeed.com/cmp/Kimberly--clark
172,Tenet Healthcare,"$18,313.00 ","102,795",https://www.indeed.com/cmp/Tenet-Healthcare
173,Synchrony Financial,"$18,253.00 ","16,500",https://www.indeed.com/cmp/Synchrony
174,CarMax,"$17,976.80 ","25,110",https://www.indeed.com/cmp/Carmax
175,HollyFrontier,"$17,714.70 ","3,622",https://www.indeed.com/cmp/Hollyfrontier
176,Performance Food Group,"$17,619.90 ","15,000",https://www.indeed.com/cmp/Performance-Food-Group
177,Sherwin-Williams,"$17,534.50 ","53,368",https://www.indeed.com/cmp/Sherwin--williams
178,Emerson Electric,"$17,408.00 ","87,500",https://www.indeed.com/cmp/Emerson
179,NGL Energy Partners,"$17,282.70 ","2,400",https://www.indeed.com/cmp/Ngl-Energy-Partners
180,XPO Logistics,"$17,279.00 ","100,000",https://www.indeed.com/cmp/Xpo-Logistics
181,EOG Resources,"$17,275.40 ","2,800",https://www.indeed.com/cmp/Eog-Resources
182,Applied Materials,"$17,253.00 ","21,000",https://www.indeed.com/cmp/Applied-Materials
183,PG&E,"$16,759.00 ","24,000",https://www.indeed.com/cmp/Pacific-Gas-and-Electric-Company-(pg&E)
184,NextEra Energy,"$16,727.00 ","14,300",https://www.indeed.com/cmp/Nextera-Energy
185,C.H. Robinson Worldwide,"$16,631.20 ","15,262",https://www.indeed.com/cmp/C.h.-Robinson
186,Gap,"$16,580.00 ","135,000",https://www.indeed.com/cmp/Gap
187,Lincoln National,"$16,424.00 ","11,034",https://www.indeed.com/cmp/Lincoln-Financial
188,DaVita,"$16,368.60 ","77,700",https://www.indeed.com/cmp/DaVita
189,Jones Lang LaSalle,"$16,318.40 ","90,000",https://www.indeed.com/cmp/Jll
190,WestRock,"$16,285.10 ","45,100",https://www.indeed.com/cmp/Westrock
191,CDW,"$16,240.50 ","9,019",https://www.indeed.com/cmp/Cdw
192,American Electric Power,"$16,195.70 ","17,582",https://www.indeed.com/cmp/American-Electric-Power-(aep)
193,Cognizant Technology Solutions,"$16,125.00 ","281,600",https://www.indeed.com/cmp/Cognizant-Technology-Solutions
194,D.R. Horton,"$16,068.00 ","8,437",https://www.indeed.com/cmp/D.r.-Horton
195,Becton Dickinson,"$15,983.00 ","76,032",https://www.indeed.com/cmp/Bd
196,Nordstrom,"$15,860.00 ","74,000",https://www.indeed.com/cmp/Nordstrom
197,Netflix,"$15,794.30 ","7,100",https://www.indeed.com/cmp/Netflix
198,Aramark,"$15,789.60 ","227,200",https://www.indeed.com/cmp/Aramark
199,Texas Instruments,"$15,784.00 ","29,888","https://www.indeed.com/cmp/Texas-Instruments,-Inc"
200,General Mills,"$15,704.40 ","40,000",https://www.indeed.com/cmp/General-Mills
201,Supervalu,"$15,679.00 ","23,000",https://www.indeed.com/cmp/Supervalu-Inc.
202,Colgate-Palmolive,"$15,544.00 ","34,500",https://www.indeed.com/cmp/Colgate--palmolive
203,Goodyear Tire & Rubber,"$15,475.00 ","64,000",https://www.indeed.com/cmp/Goodyear
204,PayPal Holdings,"$15,451.00 ","21,800",https://www.indeed.com/cmp/Paypal
